Accession,Entry,Name,Species,PC_NT.1.1,PC_NT.1.2,PC.DM_NT.DM.1.1,PC.DM_NT.DM.1.2,PC_NT.2.1,PC_NT.2.2,PC.DM_NT.DM.2.1,PC.DM_NT.DM.2.2
RS15A_HUMAN,P62244,"40S ribosomal protein S15a",HUMAN,0.142,0.586,10.965,1.282,0.356,0.161,1.722,0.373
RS18_HUMAN,P62269,"40S ribosomal protein S18",HUMAN,0.143,0.261,2.188,1.5,0.387,0.855,2.78,1.138
RS19_HUMAN,P39019,"40S ribosomal protein S19",HUMAN,0.122,0.535,1.941,1.117,1,0.603,1.067,0.592
RS21_HUMAN,P63220,"40S ribosomal protein S21",HUMAN,0.373,0.555,6.026,1.038,1.472,0.132,0.194,1.905
RS28_HUMAN,P62857,"40S ribosomal protein S28",HUMAN,0.445,0.236,3.631,0.724,0.249,1.343,1.941,0.649
RS3A_HUMAN,P61247,"40S ribosomal protein S3a",HUMAN,0.425,0.142,4.699,2.512,0.535,1.247,1.82,0.53
RS3_HUMAN,P23396,"40S ribosomal protein S3",HUMAN,0.251,0.511,7.87,1.282,0.328,0.592,1.459,0.203
RS4X_HUMAN,P62701,"40S ribosomal protein S4, X isoform",HUMAN,0.229,0.373,1.393,1.995,0.643,0.794,2.168,2.188
RS5_HUMAN,P46782,"40S ribosomal protein S5",HUMAN,0.353,0.637,10.864,1.127,0.492,0.991,1.459,0.738
RS6_HUMAN,P62753,"40S ribosomal protein S6",HUMAN,0.265,0.773,3.02,1.629,0.492,0.356,3.02,0.191
RS7_HUMAN,P62081,"40S ribosomal protein S7",HUMAN,0.15,0.449,1.614,0.759,0.991,0.47,2.148,0.217
RS9_HUMAN,P46781,"40S ribosomal protein S9",HUMAN,0.479,0.938,1.169,1.738,0.171,0.042,1.871,0.437
RSSA_HUMAN,P08865,"40S ribosomal protein SA",HUMAN,0.254,0.34,0.78,0.912,0.637,0.637,0.479,0.53
RSU1_HUMAN,Q15404,"Ras suppressor protein 1",HUMAN,2.291,1.941,6.252,0.794,1.086,1.69,0.929,0.718
S10A6_HUMAN,P06703,"Protein S100-A6",HUMAN,28.84,2.128,1.528,1.096,9.55,3.373,3.532,4.875
S10A9_HUMAN,P06702,"Protein S100-A9",HUMAN,1.159,3.192,1.368,3.311,3.373,15.704,18.707,1.028
S10AB_HUMAN,P31949,"Protein S100-A11",HUMAN,10.28,13.428,0.973,1.047,1.259,1.995,4.13,0.631
S10AG_HUMAN,Q96FQ6,"Protein S100-A16",HUMAN,1.837,2.421,11.482,1.542,6.138,3.532,11.169,1.585
SAMP_HUMAN,P02743,"Serum amyloid P-component",HUMAN,4.246,1.706,13.804,0.802,2.535,1.675,1.432,7.311
SARDH_HUMAN,Q9UL12,"Sarcosine dehydrogenase, mitochondrial",HUMAN,0.115,0.145,0.54,0.895,0.425,0.316,0.132,0.225
SBP1_HUMAN,Q13228,"Selenium-binding protein 1",HUMAN,1.086,0.655,6.607,0.631,0.313,0.511,0.483,0.328
SC11A_HUMAN,P67812,"Signal peptidase complex catalytic subunit SEC11A",HUMAN,1,0.817,0.189,0.545,0.565,0.445,0.946,0.31
SC22B_HUMAN,O75396,"Vesicle-trafficking protein SEC22b",HUMAN,0.511,0.425,1.247,1.77,0.429,1.459,1.294,0.515
SC23A_HUMAN,Q15436,"Protein transport protein Sec23A",HUMAN,1.585,2.051,14.322,1.6,1.675,1.923,0.711,3.221
SC23B_HUMAN,Q15437,"Protein transport protein Sec23B",HUMAN,0.47,0.081,2.466,1.995,0.373,0.555,0.54,0.213
SC24D_HUMAN,O94855,"Protein transport protein Sec24D",HUMAN,0.619,0.337,2.291,0.973,0.809,0.55,0.912,1.432
SC61B_HUMAN,P60468,"Protein transport protein Sec61 subunit beta",HUMAN,0.118,0.191,0.129,3.342,0.832,0.373,0.631,0.824
SCLY_HUMAN,Q96I15,"Selenocysteine lyase",HUMAN,0.373,0.24,0.608,1.019,0.973,0.649,0.912,0.832
SEGN_HUMAN,O76038,Secretagogin,HUMAN,0.363,0.879,0.265,0.242,0.09,0.565,2.679,0.242
SEPT2_HUMAN,Q15019,Septin-2,HUMAN,2.679,0.847,10.965,1.138,2.168,1.82,2.704,2.443
SEPT9_HUMAN,Q9UHD8,Septin-9,HUMAN,2.992,1.5,1.754,0.895,1.514,1.038,1.82,1.69
SERA_HUMAN,O43175,"D-3-phosphoglycerate dehydrogenase",HUMAN,0.299,0.145,1.191,0.441,0.249,0.586,0.233,0.545
SERC_HUMAN,Q9Y617,"Phosphoserine aminotransferase",HUMAN,0.215,0.132,0.685,0.417,0.067,0.603,0.461,0.049
SERPH_HUMAN,P50454,"Serpin H1",HUMAN,10.471,1.871,2.805,4.966,4.365,4.365,0.614,0.794
SIAS_HUMAN,Q9NR45,"Sialic acid synthase",HUMAN,0.488,1.271,5.702,0.409,0.441,0.254,1.629,0.158
SKP1_HUMAN,P63208,"S-phase kinase-associated protein 1",HUMAN,0.56,2.188,0.479,0.545,1.528,0.738,0.679,0.461
SND1_HUMAN,Q7KZF4,"Staphylococcal nuclease domain-containing protein 1",HUMAN,0.453,0.192,2.679,0.586,0.724,0.308,0.413,0.147
SNTB1_HUMAN,Q13884,Beta-1-syntrophin,HUMAN,0.54,0.488,9.29,0.964,0.31,0.215,0.929,1.271
SPB6_HUMAN,P35237,"Serpin B6",HUMAN,0.912,1.047,0.302,0.497,0.154,0.614,1.472,0.081
SPCS2_HUMAN,Q15005,"Signal peptidase complex subunit 2",HUMAN,0.575,0.492,0.501,0.752,0.752,0.366,0.832,0.483
SPCS3_HUMAN,P61009,"Signal peptidase complex subunit 3",HUMAN,0.286,0.387,17.701,1.419,0.483,0.288,0.55,0.092
SPRC_HUMAN,P09486,SPARC,HUMAN,3.467,17.539,5.297,2.78,1.803,2.355,1,1.82
SPRE_HUMAN,P35270,"Sepiapterin reductase",HUMAN,0.643,0.57,8.63,0.718,0.474,0.643,0.53,1.271
SQRD_HUMAN,Q9Y6N5,"Sulfide:quinone oxidoreductase, mitochondrial",HUMAN,0.54,4.831,2.312,1.343,3.532,1.225,1.803,3.565
SRSF2_HUMAN,Q01130,"Serine/arginine-rich splicing factor 2",HUMAN,1.009,1.585,2.032,1.69,1.803,5.297,2.938,1.722
SSRD_HUMAN,P51571,"Translocon-associated protein subunit delta",HUMAN,0.35,0.084,0.258,0.286,0.363,0.164,0.075,0.114
SSRG_HUMAN,Q9UNL2,"Translocon-associated protein subunit gamma",HUMAN,0.425,0.461,1.754,1.585,1.343,0.082,0.57,0.581
STAT1_HUMAN,P42224,"Signal transducer and activator of transcription 1-alpha/beta",HUMAN,0.738,2.606,12.134,1.514,1.644,6.73,0.871,0.745
STAU1_HUMAN,O95793,"Double-stranded RNA-binding protein Staufen homolog 1",HUMAN,3.02,2.655,1.786,2.168,1.722,0.705,1.019,1.202
STT3A_HUMAN,P46977,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A",HUMAN,0.242,0.377,1.472,0.661,0.334,0.457,0.366,0.278
SUCB2_HUMAN,Q96I99,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial",HUMAN,0.391,0.291,1.82,0.313,0.328,0.92,0.655,0.231
SYAC_HUMAN,P49588,"Alanyl-tRNA synthetase, cytoplasmic",HUMAN,0.501,0.501,2.911,0.887,0.111,0.904,1.754,0.143
SYCN_HUMAN,Q0VAF6,Syncollin,HUMAN,0.151,0.028,0.163,0.373,0.09,1.028,0.132,3.597
SYFB_HUMAN,Q9NSD9,"Phenylalanyl-tRNA synthetase beta chain",HUMAN,0.649,0.417,9.29,0.92,0.483,0.597,1.067,0.294
SYK_HUMAN,Q15046,"Lysyl-tRNA synthetase",HUMAN,0.394,1,0.625,1.871,0.402,0.437,1.236,0.377
SYLC_HUMAN,Q9P2J5,"Leucyl-tRNA synthetase, cytoplasmic",HUMAN,0.56,0.649,0.718,0.938,0.035,0.597,1.236,0.511
SYNC_HUMAN,O43776,"Asparaginyl-tRNA synthetase, cytoplasmic",HUMAN,0.545,1.191,2.606,0.501,0.373,0.449,2.704,0.466
SYNEM_HUMAN,O15061,Synemin,HUMAN,0.832,0.938,2.109,3.597,1.959,1.107,1.096,5.445
SYNP2_HUMAN,Q9UMS6,Synaptopodin-2,HUMAN,2.291,1.6,2.535,0.92,4.055,0.752,0.643,2.679
SYVC_HUMAN,P26640,"Valyl-tRNA synthetase",HUMAN,0.118,0.515,1.6,0.964,0.555,0.15,0.619,0.034
TAGL2_HUMAN,P37802,Transgelin-2,HUMAN,10,1.69,4.786,1.096,1.159,6.081,4.742,0.429
TAGL_HUMAN,Q01995,Transgelin,HUMAN,10.965,35.318,1.977,0.625,2.512,10.186,3.076,4.13
TBB5_HUMAN,P07437,"Tubulin beta chain",HUMAN,3.251,1.355,53.951,0.863,2.466,10,2.704,0.991
TBCA_HUMAN,O75347,"Tubulin-specific chaperone A",HUMAN,1.343,0.236,13.552,1.096,3.133,0.912,2.032,2.399
TBL2_HUMAN,Q9Y4P3,"Transducin beta-like protein 2",HUMAN,0.134,0.16,0.946,0.619,0.483,1.009,1.086,0.54
TENA_HUMAN,P24821,Tenascin,HUMAN,9.817,1.706,2.168,0.879,28.054,2.377,2.377,2.27
TFG_HUMAN,Q92734,"Protein TFG",HUMAN,0.425,0.497,1.294,0.445,0.597,1.38,0.673,0.185
TGM2_HUMAN,P21980,"Protein-glutamine gamma-glutamyltransferase 2",HUMAN,12.134,1.754,4.786,1.38,17.539,3.767,2.655,8.472
THIL_HUMAN,P24752,"Acetyl-CoA acetyltransferase, mitochondrial",HUMAN,0.275,0.149,3.105,0.661,0.109,0.802,0.824,0.142
TIF1B_HUMAN,Q13263,"Transcription intermediary factor 1-beta",HUMAN,1.706,0.895,1.406,0.731,2.089,1.69,3.105,1
TLN1_HUMAN,Q9Y490,Talin-1,HUMAN,3.342,2.333,5.808,1.019,3.404,3.802,1.393,3.698
TMED2_HUMAN,Q15363,"Transmembrane emp24 domain-containing protein 2",HUMAN,0.233,1.294,3.499,0.705,0.233,0.308,0.637,0.209
TMOD3_HUMAN,Q9NYL9,Tropomodulin-3,HUMAN,1.923,0.887,8.241,0.479,4.325,2.655,1.923,0.322
TOIP1_HUMAN,Q5JTV8,"Torsin-1A-interacting protein 1",HUMAN,0.698,0.929,1.556,1.854,0.879,2.655,1.076,1.57
TPD52_HUMAN,P55327,"Tumor protein D52",HUMAN,0.661,0.492,0.37,0.394,0.179,0.445,0.705,0.34
TPM1_HUMAN,P09493,"Tropomyosin alpha-1 chain",HUMAN,7.112,10.471,4.875,1.225,3.467,3.802,1.6,2.512
TPM2_HUMAN,P07951,"Tropomyosin beta chain",HUMAN,3.076,5.395,16.444,0.649,3.342,0.855,1.159,41.305
TPM4_HUMAN,P67936,"Tropomyosin alpha-4 chain",HUMAN,4.13,2.535,5.297,1.432,2.312,3.597,3.105,2.466
TRA2B_HUMAN,P62995,"Transformer-2 protein homolog beta",HUMAN,2.032,1.923,1.38,0.879,0.855,2.014,4.446,0.619
TRFE_HUMAN,P02787,Serotransferrin,HUMAN,4.966,5.152,4.207,1.318,0.394,6.607,1.738,6.252
TRFL_HUMAN,P02788,Lactotransferrin,HUMAN,0.752,3.532,3.133,2.089,20.137,1.107,1.803,1.236
TRI47_HUMAN,Q96LD4,"Tripartite motif-containing protein 47",HUMAN,1.225,0.608,1.722,1.076,1.18,3.873,3.048,1.542
TRY1_HUMAN,P07477,Trypsin-1,HUMAN,0.092,0.024,0.474,0.189,0.074,0.059,0.203,0.091
TRY2_HUMAN,P07478,Trypsin-2,HUMAN,0.106,0.031,0.964,0.2,0.065,0.012,0.03,0.021
TRY3_HUMAN,P35030,Trypsin-3,HUMAN,0.492,0.02,3.873,0.268,0.441,1.067,0.802,1.202
TRY6_HUMAN,Q8NHM4,"Putative trypsin-6",HUMAN,0.118,0.139,6.081,0.47,0.421,0.398,18.535,0.555
TSP1_HUMAN,P07996,Thrombospondin-1,HUMAN,21.281,18.03,3.664,19.953,38.371,34.995,2.014,1.18
TSP2_HUMAN,P35442,Thrombospondin-2,HUMAN,28.576,8.472,4.446,44.055,7.311,5.649,2.377,4.571
TSTD1_HUMAN,Q8NFU3,"Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 1",HUMAN,0.649,0.406,1.754,0.863,0.565,1.202,0.912,1.722
TTL12_HUMAN,Q14166,"Tubulin--tyrosine ligase-like protein 12",HUMAN,0.863,1.995,10,1.614,4.613,0.608,1.225,2.208
TWF1_HUMAN,Q12792,Twinfilin-1,HUMAN,0.35,1.117,8.318,1.419,1.38,0.973,1.871,2.014
TYPH_HUMAN,P19971,"Thymidine phosphorylase",HUMAN,8.872,2.128,4.656,1.738,11.912,3.221,1.57,2.754
UACA_HUMAN,Q9BZF9,"Uveal autoantigen with coiled-coil domains and ankyrin repeats",HUMAN,4.966,1.343,2.421,0.794,2.704,1.923,1.738,2.312
UFC1_HUMAN,Q9Y3C8,"Ubiquitin-fold modifier-conjugating enzyme 1",HUMAN,0.441,0.347,18.03,0.673,0.661,0.55,0.964,0.356
UFL1_HUMAN,O94874,"E3 UFM1-protein ligase 1",HUMAN,0.425,0.54,4.169,0.724,0.425,1.047,0.718,0.098
UFM1_HUMAN,P61960,"Ubiquitin-fold modifier 1",HUMAN,0.643,0.177,16.749,0.497,0.142,1.169,32.211,0.294
UGGG1_HUMAN,Q9NYU2,"UDP-glucose:glycoprotein glucosyltransferase 1",HUMAN,0.394,0.213,2.228,0.608,0.445,0.47,1.6,0.095
VATG1_HUMAN,O75348,"V-type proton ATPase subunit G 1",HUMAN,1.528,1.803,2.249,1.706,2.208,1.047,0.261,5.248
VDAC2_HUMAN,P45880,"Voltage-dependent anion-selective channel protein 2",HUMAN,0.955,0.904,8.954,0.832,0.581,2.489,1.923,1.6
VIGLN_HUMAN,Q00341,Vigilin,HUMAN,0.57,0.34,2.78,0.745,0.402,0.929,0.34,0.24
VILI_HUMAN,P09327,Villin-1,HUMAN,0.912,2.489,6.081,0.384,1.675,1.941,0.929,1.294
VINC_HUMAN,P18206,Vinculin,HUMAN,6.918,2.78,6.252,0.991,3.162,5.445,1.905,2.312
VTNC_HUMAN,P04004,Vitronectin,HUMAN,1.067,2.489,6.792,1.355,1.282,1.675,3.048,4.093
VWA1_HUMAN,Q6PCB0,"von Willebrand factor A domain-containing protein 1",HUMAN,1.306,0.809,16.144,0.929,1.18,0.938,2.704,2.559
WDR1_HUMAN,O75083,"WD repeat-containing protein 1",HUMAN,4.246,1.368,5.152,1.138,1.995,4.742,2.249,1.959
XPP1_HUMAN,Q9NQW7,"Xaa-Pro aminopeptidase 1",HUMAN,0.34,0.275,10.864,0.731,0.305,0.363,1.57,0.093
ZA2G_HUMAN,P25311,Zinc-alpha-2-glycoprotein,HUMAN,2.831,1.738,12.823,0.982,0.752,5.916,1.294,0.794
ZYX_HUMAN,Q15942,Zyxin,HUMAN,2.938,2.355,12.246,1.66,2.884,0.973,0.912,6.918
