"IPI Number","Protein Name","UniProt","T-test p value","Ratio (C/N)"
IPI00647915,"TAGLN2 24 kDa protein",Q9BUH5;Q6FGI1;Q5JRQ6;Q5JRQ7;P37802;Q9H4P0,0,2.547
IPI00655650,"RPS26 40S ribosomal protein S26",Q3MHD8;Q5JVH5;P70394;Q76N57;Q76N56;Q6IRY4;P02383;Q06722;P62854,0.018,0.367
IPI00719752,"EIF3B Isoform 2 of Eukaryotic translation initiation factor 3 subunit B",Q59FS8;Q96G38;Q86UM1;Q2NL77;P55884;Q9UMF9;A4D208,0.011,0.408
IPI00743931,"GORASP2 cDNA FLJ59712, highly similar to Golgi reassembly-stacking protein 2",Q9UFW4;Q96K84;Q96I74;Q53TE3;Q9H946;Q9H8Y8,0.038,0.532
IPI00744015,"DYNC1I2 Isoform 2A of Cytoplasmic dynein 1 intermediate chain 2",Q96NG7;Q53SA6;Q13409;Q9NT58;Q96S87;Q5BJF8;Q32LY9;Q7Z4X1;Q9H5W7;Q59GU5;Q53S84;Q9BXZ5,0.029,0.642
IPI00744153,GCG,P01275;A6NN65;Q53TP6,0.022,0.137
IPI00744889,"CDH1 E-cadherin",Q16194;P12830;Q9UII7;Q14216;Q9UII8;Q4PJ14;A8K1U7;Q15855;Q13799,0,0.684
IPI00745701,"DMBT1 Isoform 6 of Deleted in malignant brain tumors 1 protein",Q5JR26;Q9UGM3;B1ARE9;Q9UJ57;B1ARE7;B1ARE8;A6NDG4;Q9Y211;A6NDJ5;A8E4R5;Q59EX0;Q9Y4V9;Q96DU4;Q9UKJ4;B1ARF0;Q6MZN4;Q9UGM2,0.006,31.183
IPI00746777,"ADH5;ADH5P4 Alcohol dehydrogenase class-3",Q6IRT1;Q5U043;Q2VIM7;Q6FI45;P11766;Q6FHR2,0.045,0.715
IPI00759776,"ACTN1 alpha-actinin-1 isoform a",P12814;Q1HE25;Q9BTN1;Q86TX4;Q5ZEZ4;B3V8S3,0.048,1.296
IPI00782992,"SRRM2 Isoform 1 of Serine/arginine repetitive matrix protein 2",Q9P0G1;Q6PIM3;Q9UQ38;Q9UQ37;Q9UQ39;Q96GY7;A6NKB9;Q9UQ36;Q9UQ35;O94803;O15038;Q05CV9;Q9UQ40;Q6PK40;Q9UHA8;Q05BI2;Q6NSL3;Q8IW17,0.007,1.706
IPI00783287,"Immunglobulin heavy chain variable region (Fragment)",NA,0.016,0.45
IPI00784830,"IGHA2 cDNA FLJ41981 fis, clone SMINT2011888, highly similar to Protein Tro alpha1 H,myeloma",Q7Z374;Q9NPP6;Q6N041;P01877;Q6N091,0.027,0.418
IPI00789324,JUP,NA,0.04,1.273
IPI00789699,"CYFIP2 Isoform 1 of Cytoplasmic FMR1-interacting protein 2",Q9ULQ2;Q14650;Q9NTK4;Q9H360;Q9UN29;Q9NSN1;Q96F07;Q53EN5;A6NLT2,0.031,0.538
IPI00789848,"IVD isovaleryl-CoA dehydrogenase, mitochondrial isoform 1 precursor",B3KVI7;Q96AF6;P26440;Q53XZ9;B2RCV5,0.012,0.569
IPI00790064,NDUFB9,NA,0,0.323
IPI00790739,ACO2,Q6FHX0;Q71UF1;Q8TAQ6;Q99798;Q5JZ41;O75809,0.001,0.522
IPI00790896,GNB2,P11016;P62879;P54312;Q6FHM2,0.036,2.755
IPI00791316,"GAP43 neuromodulin isoform 1",Q6LB24;P17677;A8K0Y4;Q5U058,0,0.236
IPI00793199,"ANXA4 annexin A4",Q96F33;Q6LES2;P09525;Q9BWK1;Q6P452;Q6MZI0;Q59FK3,0.042,1.384
IPI00796333,"ALDOA 45 kDa protein",Q6FH76;P04075;B4DXI7;Q6FI10;Q96B15;Q9UCN2;Q9BWD9,0.041,1.263
IPI00797038,"PCK2 Isoform 1 of Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",Q6IB91;Q86U01;Q9BV62;Q16822;O43253,0.031,0.729
IPI00797738,"COX6B1 Cytochrome c oxidase subunit 6B1",P14854;B2R5C9;Q6IBL4,0.003,0.543
IPI00807545,"HNRNPK Isoform 3 of Heterogeneous nuclear ribonucleoprotein K",Q96J62;Q6IBN1;Q59F98;Q5EC54;Q60577;Q07244;Q5T6W5;P61978;Q5T6W4;Q15671;Q5T6W1;Q922Y7;Q5T6W2,0.033,1.423
IPI00829827,"- 13 kDa protein",NA,0.016,0.467
IPI00830136,"C1orf31 Isoform 2 of  C1orf31",Q8TA88;Q5JTJ2;Q5JTJ3;Q5JTJ4,0.048,0.733
IPI00843910,"FUCA1 Tissue alpha-L-fucosidase",Q3LID0;Q8NAC2;Q14334;P04066;Q14335,0.003,0.53
IPI00847535,"PRG2 Bone marrow proteoglycan precursor",NA,0.004,5.031
IPI00853270,"JAKMIP1 Isoform 2 of Janus kinase and microtubule-interacting protein 1",A6H2J2;B8ZZR7;Q96N16;Q8N7G3;Q86Y69;A6H2J5;A8MTK6;A6H2J3;A6H2J4,0.04,0.433
IPI00853369,"PLXNB2 Plexin-B2",Q7KZU3;A6QRH0;Q16293;Q3LIB1;O15031;Q9BSU7;Q2TBE4,0.013,0.509
IPI00853454,"LAMB1 200 kDa protein",Q14D91;Q8TAS6;Q75MC8;P07942,0.033,2.961
IPI00855775,"Ribonuclease S2",NA,0.044,0.486
IPI00871535,"SPTAN1 Isoform 2 of Spectrin alpha chain, brain",Q7Z6M5;Q9P0V0;Q5VXV5;Q5VXV6;Q9UG16;Q14917;Q16606;Q15324;Q59EF1;Q13813;Q13186,0,0.33
IPI00872359,"DCTN1 Isoform p150 of Dynactin subunit 1",O95296;Q9BRM9;Q6LCB2;Q6IQ37;Q14203;Q6AWB3;Q9UIU1;Q6MZZ3;Q9UIU2;Q6AWB1;Q59F36,0.001,0.541
IPI00872762,"SUCLG1 Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial",Q6IAL5;P53597;Q9BWB0;Q9UNP6,0.01,0.607
IPI00883655,"DPYSL2 dihydropyrimidinase-related protein 2 isoform 1",Q8NAN9;Q53ET2;O00424;Q59GB4;A8K5H2;Q16555,0.007,0.605
IPI00893715,EPCAM,Q9UCD0;Q6FG49;Q96C47;P18180;Q6FG26;P16422,0.022,0.685
IPI00893746,NHP2L1,Q6FHM6;P55769;C9J9R8,0.011,1.851
IPI00893981,ACTB,P70514;Q9UMN3;Q9UE89;Q1KLZ0;P60709;Q53G99;Q64316;Q11211;Q53G76;Q96HG5;Q562S0;P02570;Q75MN2;Q96B34;Q53GK6;P99021;Q562L3,0.003,48.221
IPI00894154,NDUFA10,Q7Z518;Q59FM0;O95299;Q8N1B9;Q8WXC9;Q53SW4;Q53QE8,0.003,0.493
IPI00894474,"KATNAL2 Isoform 1 of Katanin p60 ATPase-containing subunit A-like 2",Q9H038;Q8IYT4,0.044,2.198
IPI00902610,FHL1,Q6IB30;Q13230;Q5JXI2;Q13642;Q5JXI0;Q9UKZ8;B7Z9A1;Q13645;Q53FI7;O95212;Q5JXI3;B7Z793;Q5JXI7;Q5JXH8;Q5JXI8;Q5JXH9;Q5JXH7;B7Z5T4;Q9Y630;Q5M7Y6;Q9NZ40,0.007,0.371
IPI00903112,"LTF cDNA FLJ36533 fis, clone TRACH2004428, high",Q8IU92;Q8TCD2;P02788;Q16789;Q8IZH6;Q8IX02;Q5EK51;Q5DSM0;Q16786;Q16785;Q8IWS6;Q96KZ4;Q16780;Q19KS2;Q96KZ5;Q2TUW9;Q9H1Z3;O00756,0.038,1.652
IPI00909516,"TPP1 cDNA FLJ58558, highly similar to Tripeptidyl-peptidase 1",O14773;Q96C37;Q71JP6;Q53HT1;Q6UX56;Q5JAK6;Q53HP2,0.036,0.6
IPI00910544,"SERPINB5 cDNA FLJ57640, highly similar to Serpin B5",Q8WW89;P36952;Q6N0B4;B2R6Y4,0.017,2.49
IPI00915363,"RPS24 40S ribosomal protein S24 isoform d",Q7Z3D1;P16632;Q5T0P7;Q5T0P8;P62847,0.013,3.225
IPI00917298,"RPL31 cDNA FLJ57527, highly similar to 60S ribosomal protein L31",Q6LBJ6;P62899;Q76N53;Q6IRZ0;P12947;B7Z4K2;Q53SQ5,0.023,0.433
IPI00917645,"SCRN1 secernin-1 isoform b",B4DIP5;Q8IWD1;A8K0E9;B4DHM0;Q12765;Q25QX7,0.013,0.296
IPI00922181,"MCM2 cDNA FLJ53276, moderately similar to DNA replication licensing factor MCM2",Q969W7;Q9BWF4;Q8N2V1;Q9BRM7;Q15023;P49736;Q14577;Q96AE1,0.024,2.514
IPI00922213,"FN1 cDNA FLJ53292, highly similar to Homo sapiens fibronectin 1 (FN1), transcript variant 5, mRNA",Q68DT4;P02751;Q59EH1;Q68DP8;Q53S27;O95609;Q68DP9;Q14327;Q7L553;Q14328;Q14325;Q14326;Q60FE4;Q7Z391;Q9UQS6;Q6MZF4;Q6MZM7;Q6PJE5;Q9H382;Q59G22;Q8IVI8;Q6LDP6;Q68CX6;Q9H1B8;Q86T27;Q6MZU5;Q6N084;Q564H7;Q585T2;Q9UMK2;Q96KP7;Q96KP8;Q96KP9;Q14312;Q6N025;Q6N0A6;O95610;Q9HAP3;Q17RV7;Q5CZ99;Q6MZS0,0.004,4.754
IPI00922415,"SSBP1 cDNA FLJ51825, highly similar to Single-stranded DNA-binding protein, mitochondrial",Q567R6;Q04837;Q75MV9;A4D1U3;Q96QL6,0.025,1.812
IPI00922682,GPHN,NA,0.04,1.872
IPI00924788,"NCEH1 neutral cholesterol ester hydrolase 1 isoform a",B7Z5U2;Q9P2I4;Q6PIU2;B7Z3A1;B7ZAW6;B7Z2K4;Q86WZ1;B7Z906,0.033,2.075
IPI00925547,LTF,Q8IU92;Q8TCD2;P02788;Q16789;Q8IZH6;Q8IX02;Q5EK51;Q5DSM0;Q16786;Q16785;Q8IWS6;Q96KZ4;Q16780;Q19KS2;Q96KZ5;Q2TUW9;Q9H1Z3;O00756,0,118.373
IPI00926625,"ZYX Zyxin",A4D2G6;Q96AF9;Q28617;Q9BUS0;Q15942;Q6I9S4,0.005,2.552
IPI00926648,APEH,Q9P0Y2;Q9BQ33;P13798,0.026,0.726
IPI00926903,CHCHD3,Q9NX63;A4D1N4,0.027,0.623
IPI00927658,RPL32,B2R4Q3;P02433;P62910,0.007,2.261
IPI00930124,"IGHV4-31;IGHG1 Putative  DKFZp686C11235",Q6ZP87;P01871;Q6ZP85;Q6N030;Q6N097;Q7Z351;A2NU35;Q6N096;Q6N095;Q6P089;Q5EFE5;Q6N094;Q6MZQ6;P01857;Q96QR9;Q6N089;P01860;Q6MZU6;Q6GMX6;Q6PYX1;Q9ULB6;Q0ZCI1;Q96QS0;Q8NF17;P20769;Q86TT2;Q86TT1,0.049,0.142
IPI00930241,"EBNA1BP2 probable rRNA-processing protein EBP2 isoform 1",Q99848;Q96A66;Q6IB29,0.021,2.639
IPI00946599,"TPSAB1 TPSB2 protein",P20231;Q6B051;Q9UQI1;Q6NZY1;Q86TM8;Q9UQI7;P15157;Q9UQI6;O95827;Q9H2Y4;Q15664;Q6B052;Q15663;Q96RZ7;Q6FHB8;Q9H2Y5;Q96RZ6;Q15661;Q86UA5,0.003,0.348
IPI00947127,"LDHA L-lactate dehydrogenase A chain isoform 3",Q6ZNV1;Q6IBM7;B4DKQ2;A8MXQ4;P00338;B7Z5E3;Q9UDE8;Q53G53;Q9UDE9,0.001,2.535
IPI00947502,PCCB,Q16813;Q59GV0;P05166;Q86TD7;Q9HBR7;Q8WVH4;Q96CX0,0.018,0.708
IPI00964764,"SDHA cDNA FLJ55072, highly similar to Succinate dehydrogenase (ubiquinone) flavoprotein subunit, mitochondrial",NA,0.002,0.584
IPI00965234,"CAMK2D cDNA FLJ53470, highly similar to Calcium/calmodulin-dependent protein kinase type II delta chain",NA,0.043,0.704
IPI00967313,"MTTP cDNA FLJ51770, highly similar to Microsomal triglyceride transfer protein large subunit",NA,0.036,5.084
IPI00968027,"GC vitamin D-binding protein isoform 3 precursor",NA,0.034,0.637
IPI00974484,"RPS3 28 kDa protein",NA,0.002,1.754
IPI00977661,"RPL17-C18ORF32 RPL17-C18orf32 protein isoform 1",NA,0.02,1.503
IPI00983620,"LOC650157 peptidyl-prolyl cis-trans isomerase A-like",NA,0.011,2.183
IPI00984879,"ACTA2 cDNA FLJ52761, highly similar to Actin, aortic smooth muscle",NA,0.021,6.951
IPI01020905,"RPL18 Protein",NA,0.036,1.418
IPI01024808,"26 kDa protein",NA,0.009,0.498
