Experiment,UniProtKB,Name,t010/t000,t030/t000,t060/t000,t120/t000
transcriptomics,O34648,yvlD,1.456,2.651,0.871,0.903
transcriptomics,P96612,ddl,-0.275,-0.558,0.245,-0.224
transcriptomics,P54333,xkdN,0.418,-0.011,-0.526,-0.605
transcriptomics,P71038,ywnC,-0.061,-1.346,-1.392,-1.124
transcriptomics,Q01625,oxaA1,-1.542,-1.7,-0.912,-1.179
transcriptomics,O31797,ymzC,-0.045,-1.286,-1.092,-0.944
transcriptomics,P23789,xre,-0.974,-1.423,-1.477,-1.184
transcriptomics,P06534,spo0A,-0.887,-1.647,-0.938,-1.022
transcriptomics,O31675,queC,0.003,0.038,-0.366,-0.788
transcriptomics,P40830,pksG,-1.295,-2.202,-1.727,-0.833
transcriptomics,P96581,ydaH,-0.009,1.884,1.201,0.015
transcriptomics,P96625,ydcH,-0.264,0.385,0.158,0.258
transcriptomics,P50836,ypqA,-0.019,-0.211,0.663,1.221
transcriptomics,P96615,ydbS,1.254,3.228,1.117,1.153
transcriptomics,P54420,asnB,-0.198,-1.348,-0.649,-0.506
transcriptomics,O34525,sppA,-0.392,0.057,-0.106,-0.776
transcriptomics,O31903,yorK,-0.488,-0.801,-0.36,-0.267
transcriptomics,P40780,ytxH,2.147,2.834,1.002,1.657
transcriptomics,P54478,yqfU,-0.412,1.107,-0.375,-0.685
transcriptomics,O31870,yotE,0.267,0.564,0.619,1.258
transcriptomics,P71051,yveL,-1.36,-2.467,-2.89,-2.783
transcriptomics,P94378,yxlJ,1.16,1.719,0.706,0.773
transcriptomics,O31425,skfC,-0.749,-4.184,-3.874,-2.374
transcriptomics,P51831,fabG,-0.276,-1.581,-1.146,-0.586
transcriptomics,P54533,bfmBC,-0.305,-2.19,-1.739,-0.927
transcriptomics,P96701,ydgC,0.086,1.16,0.865,0.674
transcriptomics,P94558,ysnA,0.884,1.114,0.986,0.77
transcriptomics,O31823,yngC,0.489,1.331,1.182,0.343
transcriptomics,O05272,asnO,0.126,-1.841,-0.702,0.218
transcriptomics,O31770,ymfL,-2.517,-2.518,-0.946,-1.926
transcriptomics,O31612,ppnK1,-0.515,-0.976,-0.167,-0.423
transcriptomics,O34362,ykoD,-0.193,-1.8,-0.974,-0.526
transcriptomics,P39800,xlyA,0.073,-0.645,-1.468,-1.348
transcriptomics,P94512,ysaA,-0.499,-1.587,-1.125,-0.8
transcriptomics,P46325,yxbA,-0.189,-1.969,-1.765,-0.296
transcriptomics,O31493,ydzE,0.514,1.292,0.641,0.597
transcriptomics,P54328,xkdH,0.406,-0.005,-0.522,-0.407
transcriptomics,Q08430,kinB,-1.705,-1.675,-1.715,-1.616
transcriptomics,P42979,ypjD,-1.143,-0.861,0.195,-0.311
transcriptomics,O35029,ythQ,0.175,2.043,1.245,-0.116
transcriptomics,O34889,sdpA,-3.309,-4.093,-2.283,-1.159
transcriptomics,P46318,licB,1.813,1.247,1.447,1.44
transcriptomics,O31837,yozH,-1.885,-1.131,-1.157,-1.528
transcriptomics,P45913,yqaP,0.17,1.044,0.607,0.181
transcriptomics,P37539,yaaR,0.148,0.941,0.807,0.84
transcriptomics,Q45067,ynfC,1.17,1.591,-0.513,0.016
transcriptomics,O34420,ytlA,-0.127,-0.086,0.539,2.135
transcriptomics,P35528,fliP,0.109,-1.791,-2.435,-1.531
transcriptomics,O31639,yjcQ,-0.118,-1.026,-1.489,-1.046
transcriptomics,Q02169,maf,-0.75,0.578,0.752,-0.066
transcriptomics,O32092,yueI,-0.278,0.188,-0.42,-0.704
transcriptomics,O31608,yjbJ,-0.389,-1.275,-1.081,-0.772
transcriptomics,P54518,yqhT,-1.7,-2.297,-0.738,-0.914
transcriptomics,O34543,yodE,0.746,1.688,1.074,0.505
transcriptomics,P37252,ilvH,-0.111,-1.274,-0.168,-0.291
transcriptomics,O07581,yhdL,0.283,0.902,0.757,-0.239
transcriptomics,O34996,polA,0.079,0.545,0.564,0.15
transcriptomics,O06724,yisK,-1.402,-2.794,-1.178,-0.467
transcriptomics,O05241,yugS,0.834,2.153,0.592,-0.28
transcriptomics,P39789,ypoC,0.573,0.221,-0.014,-0.432
transcriptomics,P38493,cmk,-2.822,-2.434,-1.692,-1.623
transcriptomics,O32179,yusM,0.659,1.175,1.852,1.682
transcriptomics,P39739,fliS,0.134,-1.706,-1.889,-0.926
transcriptomics,O06716,gerPF,0.523,1.039,0.81,2.209
transcriptomics,P55908,ycgA,-0.946,-1.791,-1.162,-0.397
transcriptomics,O34858,argH,0.151,-1.681,-1.037,0.297
transcriptomics,Q795Q5,yttA,-0.681,-2.148,-1.579,-1.18
transcriptomics,P54605,yhcU,-0.612,-0.748,-0.273,-0.301
transcriptomics,O34841,yoeB,0.312,1.275,-0.692,-0.714
transcriptomics,P39820,proB,-0.864,-0.005,0.417,0.128
transcriptomics,P46317,licC,1.802,1.504,1.88,1.995
transcriptomics,P97027,ssuB,1.104,1.736,0.705,0.627
transcriptomics,O32214,yvgR,-0.719,-2.167,-2.203,-0.886
transcriptomics,O05522,tatAy,-0.699,-0.075,-0.417,-0.484
transcriptomics,P54539,yqjB,-0.347,1.019,0.496,-0.165
transcriptomics,P55179,pepT,-0.441,-1.401,-0.922,-0.418
transcriptomics,O07607,yhfI,-0.987,-1.497,-1.23,-1.258
transcriptomics,O34499,ykgB,0.648,-0.235,0.364,-0.048
transcriptomics,O34587,amyX,-0.372,-1.131,-0.535,-0.318
transcriptomics,O05255,yufQ,0.36,-0.848,-1.311,-0.673
transcriptomics,O34799,ytlR,-0.601,-1.259,-0.723,-0.712
transcriptomics,O31773,pbpX,-1.733,-1.554,-1.483,-1.635
transcriptomics,O34987,pbuG,-0.618,-2.206,-2.583,-1.743
transcriptomics,O31997,yokJ,-2.622,-3.008,-1.379,-1.194
transcriptomics,P42063,appC,0.379,-1.195,-1.02,-0.407
transcriptomics,Q796S4,yhjH,-0.161,0.882,-0.112,-0.179
transcriptomics,P39575,galT,1.968,3.014,1.479,1.892
transcriptomics,O34625,ykoN,-0.291,0.309,0.195,0.227
transcriptomics,Q08360,yuxI,0.158,-1.266,-0.218,-0.219
transcriptomics,P42958,ycsA,-0.377,-1.397,-0.055,0.311
transcriptomics,O31583,yfhP,0.183,1.307,0.853,0.25
transcriptomics,O07620,yhfU,-1.078,-1.832,0.122,-0.291
transcriptomics,O05248,yugP,0.518,2.086,0.535,-0.073
transcriptomics,P97029,ygaO,0.113,0.888,0.196,-0.156
transcriptomics,Q08432,patB,-0.772,-1.42,-0.785,-0.769
transcriptomics,P39621,spsA,-0.421,-1.178,-0.341,1.251
transcriptomics,O07543,yheB,-0.912,-1.379,-0.654,-0.597
transcriptomics,P54548,rnz,-1.252,-1.219,-0.306,-0.496
transcriptomics,P31103,ndk,-1.49,-2.796,-0.798,-0.707
transcriptomics,P39764,kinC,-2.094,-1.615,0.144,-0.293
transcriptomics,O34674,ytgP,-0.161,0.15,0.24,-0.793
transcriptomics,P54484,yqgA,-2.21,-2.844,-1.055,-1.453
transcriptomics,O34653,yocE,0.088,1.522,1.681,-0
transcriptomics,P54343,xkdX,0.324,-0.085,-0.766,-0.889
transcriptomics,Q79F14,lipB,-1.196,-2.118,-1.826,-1.955
transcriptomics,Q45583,ybbJ,-0.899,-1.256,-0.795,-0.625
transcriptomics,P46912,qcrB,-1.022,-2.456,-0.329,-0.255
transcriptomics,P39797,xepA,0.599,-0.062,-0.723,-0.718
transcriptomics,O31912,yorA,0.991,1.073,-0.038,0.04
transcriptomics,P12044,purE,-0.248,-1.726,-1.962,-1.263
transcriptomics,P39609,ywdA,0.338,0.907,1.732,1.573
transcriptomics,O05517,ydiD,-0.605,-1.467,-0.795,-0.295
transcriptomics,P39824,penP,-1.525,-1.984,0.743,0.544
transcriptomics,P54336,xkdQ,0.455,0.197,-0.416,-0.8
transcriptomics,O31588,yhzB,0.007,1.253,1.101,0.381
transcriptomics,P49857,ykkD,-0.071,0.609,0.48,-0.214
transcriptomics,P54570,nudF,0.429,0.301,0.732,0.716
transcriptomics,Q45070,xynC,0.539,-0.658,0.027,0.201
transcriptomics,O31570,yfhB,-0.029,-0.792,-0.004,0.588
transcriptomics,P96606,ydbK,-0.051,0.425,0.544,-0.218
transcriptomics,Q45595,yydG,-3.902,-4.093,-1.608,-0.136
transcriptomics,O07020,yvfV,-1.182,-2.71,-0.971,-0.537
transcriptomics,P40750,pbpD,-1.085,-1.31,-0.255,-0.518
transcriptomics,P05651,recF,0.506,1.099,0.608,0.397
transcriptomics,P96631,ydcN,-1.381,-1.883,-1.852,-1.716
transcriptomics,O34898,ytrC,0.295,0.969,1.13,-0.393
transcriptomics,P42982,ypjH,-1.65,-2.351,-0.1,-0.537
transcriptomics,O05391,bofC,-0.328,1.033,-0.028,-0.649
transcriptomics,P54419,metK,-0.614,-1.749,-0.993,-0.792
transcriptomics,P39063,ytxD,-1.189,-1.151,-0.681,-0.853
transcriptomics,O34700,yebG,2.812,3.142,1.718,2.349
transcriptomics,P54483,yqfZ,-0.275,-0.571,-0.9,-1.528
transcriptomics,P37499,yybE,-0.344,-0.417,-0.575,-0.183
transcriptomics,P37575,spoIIB,-2.141,-3.98,-2.666,-3.408
transcriptomics,O31915,yoqX,-0.921,0.521,-0.569,-0.862
transcriptomics,P10585,gntR,2.312,2.994,2.713,1.722
transcriptomics,O07014,rsbP,-0.393,-0.891,-0.49,-0.242
transcriptomics,P54501,yqgX,-1.696,-1.984,-0.517,-0.323
transcriptomics,O31974,yomK,0.172,-0.737,-1.144,-1.061
transcriptomics,O34616,sdpB,-1.91,-2.5,-2.248,-1.121
transcriptomics,O34715,ydjC,-1.168,-1.013,-0.642,-0.661
transcriptomics,P39615,ung,0.177,0.88,1.009,0.776
transcriptomics,O31464,glnT,0.72,1.538,0.849,0.451
transcriptomics,P80860,pgi,-0.342,-1.702,0.505,0.03
transcriptomics,P40770,yqiH,0.307,0.973,4.732,3.436
transcriptomics,P94576,ywoF,-0.292,-0.535,-0.594,-0.661
transcriptomics,O31878,yosK,0.783,0.703,0.179,0.871
transcriptomics,O06737,yitB,0.372,0.84,0.905,2.298
transcriptomics,Q45479,lspA,-1.893,-0.987,-0.793,-0.938
transcriptomics,O05405,yrhO,-0.102,1.024,1.417,0.796
transcriptomics,P49940,gerKB,0.097,1.364,0.983,0.565
transcriptomics,O31996,yokK,-1.394,-2.27,-1.048,-1.023
transcriptomics,O34595,thiI,0.545,1.07,1.254,0.732
transcriptomics,P94424,ycnD,0.725,1.934,2.159,0.499
transcriptomics,P54600,yhcP,-0.136,-0.019,0.671,1.323
transcriptomics,O31815,yndL,-0.565,-0.288,-0.253,0.864
transcriptomics,O34504,yceB,0.522,1.72,1.182,0.915
transcriptomics,P54527,yqiK,-0.009,0.341,3.479,2.755
transcriptomics,P94403,yclA,0.61,2.631,0.934,0.121
transcriptomics,O31463,ybgG,-1.085,-1.814,-0.869,-1.085
transcriptomics,O32038,aspS,0.093,-1.144,-0.961,-0.241
transcriptomics,P46347,yqfG,-0.344,-1.633,-0.859,-0.88
transcriptomics,O34948,ykwC,-0.107,-0.507,-0.117,0.125
transcriptomics,P94484,ynaF,-1.94,-1.597,-1.062,-0.836
transcriptomics,O31927,yopK,0.978,-0.29,-0.944,-0.574
transcriptomics,P40950,yuxN,0.349,0.973,-0.306,-0.134
transcriptomics,O34940,yvrE,2.742,4.263,2.245,2.885
transcriptomics,O34364,ycdG,3.145,3.893,2.322,2.732
transcriptomics,P50728,ypbB,-1.394,-0.322,0.023,-0.346
transcriptomics,O06744,yitI,-1.162,-1.767,-0.518,-0.639
transcriptomics,O35022,azoR1,1.162,1.851,0.218,0.299
transcriptomics,O34503,ytzD,0.151,-1.49,-0.914,-0.017
transcriptomics,O34318,yloU,-1.012,-1.353,-0.133,-0.29
transcriptomics,P54304,hemN,0.959,1.346,0.899,0.754
transcriptomics,P54376,gcvPA,0.405,-1.292,-0.965,0.417
transcriptomics,P55189,ybaR,-0.416,-0.886,-0.955,-0.971
transcriptomics,O32081,yubG,-0.69,-1.211,-0.391,-0.702
transcriptomics,O31556,yfjC,-1.842,-2.242,-0.092,-0.56
transcriptomics,P54532,buk,-0.379,-1.541,-1.586,-0.902
transcriptomics,P50621,nrdF,0.94,-0.939,0.494,0.543
transcriptomics,P94425,ycnE,0.353,1.62,1.628,-0.074
transcriptomics,Q45600,yydB,0.23,-0.447,-0.693,-0.719
transcriptomics,P42313,yxjB,1.121,0.587,0.76,1.035
transcriptomics,P39591,cidA,0.299,-0.592,-1.227,-0.837
transcriptomics,O07600,fabHB,0.226,-1.154,-1.584,-0.846
transcriptomics,O34930,rapK,-0.731,-1.998,-0.572,-0.379
transcriptomics,P19672,yqxC,0.299,1.043,0.537,0.538
transcriptomics,P08821,hupA,-0.493,-1.699,-1.117,-0.924
transcriptomics,P40775,ydjM,-2.083,-2.763,-0.8,-0.482
transcriptomics,P37582,glnR,0.767,1.262,-0.02,0.521
transcriptomics,P39601,ywcC,-1.535,-1.586,-1.123,-1.249
transcriptomics,P37251,ilvB,-1.081,-2.273,-0.713,-0.844
transcriptomics,P50866,clpX,-0.773,0.488,0.145,-0.605
transcriptomics,P37489,yybO,1.581,1.824,0.207,-0.075
transcriptomics,P08064,sdhC,-0.796,-1.789,-0.55,-0.7
transcriptomics,P25149,ywaF,0.062,1.366,0.779,0.709
transcriptomics,P29141,vpr,-0.199,-1.975,-1.341,-0.287
transcriptomics,O31671,kinD,0.079,0.871,0.512,0.215
transcriptomics,O34685,yofA,-0.197,1.168,1.183,0.568
transcriptomics,P45743,dhbB,0.634,-0.34,3.792,3.546
transcriptomics,P71055,yveP,-1.031,-2.066,-2.442,-1.725
transcriptomics,O32205,yvsG,-0.751,-0.138,0.406,0.238
transcriptomics,P54392,ypjA,-0.754,-1.444,-0.987,-1.5
